,date,description,notes,species,strain,genotype,age,sex,weight,solution,internal,temperature,important,expUnit,slice_slice,slice_notes,slice_location,slice_orientation,important.1,cell_cell,cell_notes,cell_type,cell_location,cell_important,data_incomplete,data_complete,data_images
27,2018.04.09_000,"p69 (DOB 1/30/2018), 19g VGAT female, cut in Ting HEPES/NMDG (Osm 315, 1.2 g/400 mL sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (Osm = 313, 0.8 g/250 mL sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both  sides",Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium  Carboxygen flow to slices stopped by crimp in tubing. Nothing worthwhile.  TRASH!!!,CBA Mouse,VGAT,het,p69,f,19g,Standard ACSF,Cesium,34C,False,True,slice_000, , , , ,cell_001, , , , , , ,No Images or Videos
28,2018.04.09_000,"p69 (DOB 1/30/2018), 19g VGAT female, cut in Ting HEPES/NMDG (Osm 315, 1.2 g/400 mL sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (Osm = 313, 0.8 g/250 mL sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both  sides",Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium  Carboxygen flow to slices stopped by crimp in tubing. Nothing worthwhile.  TRASH!!!,CBA Mouse,VGAT,het,p69,f,19g,Standard ACSF,Cesium,34C,False,True,slice_002, , , , ,cell_000,Leaky and crappy. not worth a damn.,CArtwheel, ,False, ,"VCIV_simple_000, VGAT_5mspulses_5Hz_pt035_to_pt06_000, VGAT_5mspulses_5Hz_pt035_to_pt06_001, VGAT_5mspulses_5Hz_pt035_to_pt06_002, VGAT_5mspulses_5Hz_pt035_to_pt06_003",Images:   2
29,2018.04.11_000,"p48 (DOB 2/22/2018), 23g VGAT male, cut in Ting HEPES/NMDG (Osm 315, 1.2 g/400 mL sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (Osm = 313, 1.3 g/250 mL sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both  sides","Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium  one transtrial cell (slice_000, cell_001) not great..",CBA Mouse,vGAT,het,p48,m,23g,Standard ACSF,Cesium,34C, ,True,slice_000, , , , ,cell_000, , , , ,VCIV_simple_000.V.20/41, ,No Images or Videos
30,2018.04.11_000,"p48 (DOB 2/22/2018), 23g VGAT male, cut in Ting HEPES/NMDG (Osm 315, 1.2 g/400 mL sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (Osm = 313, 1.3 g/250 mL sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both  sides","Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium  one transtrial cell (slice_000, cell_001) not great..",CBA Mouse,vGAT,het,p48,m,23g,Standard ACSF,Cesium,34C, ,True,slice_000, , , , ,cell_001, ,tuberculoventral, , ,VGAT_5mspulses_5Hz_pt045_to_pt1_000.V.11/247,"VCIV_simple_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001, VGAT_5mspulses_5Hz_pt045_to_pt1_002","Images:   3, Videos:   2"
31,2018.05.07_000,"p31 (DOB 4/6/2018), 17g VGAT male, cut in Ting HEPES/NMDG (Osm 313, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 313, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides","Std ACSF with 5 uM CNQX disodium  Recording with Hi Cl cesium based internal.  Slice_001, cell_000 - very nice pyramidal cell, higher than ideal spont rate, access gradually declines, but nice maps",CBA Mouse,VGAT,het,p31,f,17g,Standard ACSF,Cesium,34C,True,True,slice_001, , , ,True,cell_000,"Nice cell, great access, a bit sponty and noisy, but good.",pyramidal,DCN 2nd slice,True,"Map_NewBlueLaser_VC_10Hz_000.V.0/1, Map_NewBlueLaser_VC_increase_1ms_000.V.0/1, Map_NewBlueLaser_VC_increase_1ms_001.V.0/1","Map_NewBlueLaser_VC_increase_1ms_002, Map_NewBlueLaser_VC_increase_1ms_003, Map_NewBlueLaser_VC_increase_1ms_004, VGAT_5mspulses_5Hz_pt035_to_pt06_000, VGAT_5mspulses_5Hz_pt035_to_pt06_001, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001, VGAT_5mspulses_5Hz_pt045_to_pt1_002","Images:   4, Videos:   5"
32,2018.05.07_000,"p31 (DOB 4/6/2018), 17g VGAT male, cut in Ting HEPES/NMDG (Osm 313, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 313, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides","Std ACSF with 5 uM CNQX disodium  Recording with Hi Cl cesium based internal.  Slice_001, cell_000 - very nice pyramidal cell, higher than ideal spont rate, access gradually declines, but nice maps",CBA Mouse,VGAT,het,p31,f,17g,Standard ACSF,Cesium,34C,True,True,slice_003, , , , ,cell_000,"Nice cell, lost in middle of first map. Had some interesting looking direct and distant responses...",tuberculoventral, ,True,VGAT_5mspulses_5Hz_pt045_to_pt1_000.V.291/300,VCIV_simple_000,"Images:   2, Videos:   5"
33,2018.05.09_000,"MT9 - VGAT DOB 4/6/2018, 14g, p33, cut in Ting HEPES/NMDG (Osm 310, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 315, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg, osm=321)  250 um transtrial both sides", ,CBA Mouse,VGAT,het,p33,m,14g,Standard ACSF,Cesium,34C, ,True,slice_001, , , , ,cell_000, ,pyramidal, , ,"CCIV_1nA_Posonly_000.I.8/21, CCIV_short_000.I.3/21","Map_NewBlueLaser_VC_10Hz_000, Map_NewBlueLaser_VC_10Hz_001, VCIV_simple_000, VGAT_20mspulses_5Hz_pt045_to_pt1_000_000, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001, VGAT_5mspulses_5Hz_pt045_to_pt1_002, VGAT_5mspulses_5Hz_pt045_to_pt1_003, VGAT_5mspulses_5Hz_pt045_to_pt1_004, VGAT_5mspulses_5Hz_pt06_to_pt5_000","Images:   3, Videos:  10"
34,2018.05.11_000,"MU2 - VGAT DOB 4/6/2018, 20g, p35, cut in Ting HEPES/NMDG (Osm 312, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 311, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides",Std ACSF with 5 uM CNQX disodium  Recording with Hi Cl cesium based internal.,CBA Mouse,VGAT,het,p35,M,20g,Standard ACSF,Standard K-Gluc,34C,True,True,slice_000, , , , ,cell_000,"Nice cell, marginal access. A bit heavy on the spontaneous activity at times, but not bad.. ",pyramidal, , ,VGAT_5mspulses_5Hz_pt045_to_pt1_000.V.30/154,"VCIV_simple_000, VCIV_simple_001, VGAT_5mspulses_5Hz_pt035_to_pt06_000, VGAT_5mspulses_5Hz_pt035_to_pt06_001, VGAT_5mspulses_5Hz_pt045_to_pt1_001, VGAT_5mspulses_5Hz_pt045_to_pt1_002","Images:   4, Videos:  10"
35,2018.05.11_000,"MU2 - VGAT DOB 4/6/2018, 20g, p35, cut in Ting HEPES/NMDG (Osm 312, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 311, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides",Std ACSF with 5 uM CNQX disodium  Recording with Hi Cl cesium based internal.,CBA Mouse,VGAT,het,p35,M,20g,Standard ACSF,Standard K-Gluc,34C,True,True,slice_000, , , , ,cell_001, , , , ,VGAT_5mspulses_5Hz_pt035_to_pt06_000.V.122/199,VCIV_simple_000,Images:   1
36,2018.05.11_000,"MU2 - VGAT DOB 4/6/2018, 20g, p35, cut in Ting HEPES/NMDG (Osm 312, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 311, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides",Std ACSF with 5 uM CNQX disodium  Recording with Hi Cl cesium based internal.,CBA Mouse,VGAT,het,p35,M,20g,Standard ACSF,Standard K-Gluc,34C,True,True,slice_001, , , , ,cell_000, , , , ,VCIV_simple_001.V.6/41,"VCIV_simple_000, VGAT_5mspulses_5Hz_pt035_to_pt06_000, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001, VGAT_5mspulses_5Hz_pt045_to_pt1_002, VGAT_5mspulses_5Hz_pt06_to_pt5_000, VGAT_5mspulses_5Hz_pt06_to_pt5_001","Images:   3, Videos:   6"
37,2018.05.23_000,"MT1 - VGAT DOB 4/6/2018, 22g, p43, cut in Ting HEPES/NMDG (Osm 308, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 307, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides",Std ACSF with 5 uM CNQX disodium  Recording with Hi Cl cesium based internal.  Switched back to 63x for patching. SO FRUSTRATING!!!,CBA Mouse,VGAT,het,p43,m,22g,Standard ACSF,Cesium,34C,True,True,slice_001, , , , ,cell_000, ,tuberculoventral, ,True, ,"VCIV_simple_000, VCIV_simple_001, VGAT_5mspulses_5Hz_pt035_to_pt06_000, VGAT_5mspulses_5Hz_pt035_to_pt06_001, VGAT_5mspulses_5Hz_pt035_to_pt06_002, VGAT_5mspulses_5Hz_pt045_to_pt1_000","Images:   4, Videos:   5"
38,2018.05.23_000,"MT1 - VGAT DOB 4/6/2018, 22g, p43, cut in Ting HEPES/NMDG (Osm 308, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 307, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides",Std ACSF with 5 uM CNQX disodium  Recording with Hi Cl cesium based internal.  Switched back to 63x for patching. SO FRUSTRATING!!!,CBA Mouse,VGAT,het,p43,m,22g,Standard ACSF,Cesium,34C,True,True,slice_001, , , , ,cell_001, , , , , , ,No Images or Videos
39,2018.05.23_000,"MT1 - VGAT DOB 4/6/2018, 22g, p43, cut in Ting HEPES/NMDG (Osm 308, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 307, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides",Std ACSF with 5 uM CNQX disodium  Recording with Hi Cl cesium based internal.  Switched back to 63x for patching. SO FRUSTRATING!!!,CBA Mouse,VGAT,het,p43,m,22g,Standard ACSF,Cesium,34C,True,True,slice_002, , , , ,cell_000,"Weird Glycinergic cell. What is it? Clear direct responses, but..",unknown, ,True,VGAT_5mspulses_5Hz_pt035_to_pt06_000.V.3/225,"VCIV_simple_000, VCIV_simple_001, VGAT_5mspulses_5Hz_pt035_to_pt06_001, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001, VGAT_5mspulses_5Hz_pt045_to_pt1_002","Images:   2, Videos:  10"
40,2018.05.25_000,"MT1 - VGAT DOB 4/6/2018, 22g, p45, cut in Ting HEPES/NMDG (Osm 305, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 307, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides, though one side was cut with whole cerebellum to test if DCN sliced cleaner with more tissue attached...","Std ACSF with 5+ uM CNQX disodium  Recording with Hi Cl cesium based internal.  slice_000, cell_000, cartwheel cell - looks good but map is messy, loss of access (though still ok)  slice_002, cell_000, transtrial cell - last 2 maps are big and look ok, but need more analysis...",cBA Mouse,vGAT,het,p45,m,22g,Standard ACSF,Cesium,34C,True,True,slice_000, , , ,True,cell_000,Nice maps.,cartwheel, ,True, ,"VCIV_simple_000, VCIV_simple_001, VCIV_simple_002, VGAT_5mspulses_5Hz_pt035_to_pt06_000, VGAT_5mspulses_5Hz_pt035_to_pt06_001, VGAT_5mspulses_5Hz_pt045_to_pt1_000","Images:  10, Videos:   8"
41,2018.05.25_000,"MT1 - VGAT DOB 4/6/2018, 22g, p45, cut in Ting HEPES/NMDG (Osm 305, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 307, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides, though one side was cut with whole cerebellum to test if DCN sliced cleaner with more tissue attached...","Std ACSF with 5+ uM CNQX disodium  Recording with Hi Cl cesium based internal.  slice_000, cell_000, cartwheel cell - looks good but map is messy, loss of access (though still ok)  slice_002, cell_000, transtrial cell - last 2 maps are big and look ok, but need more analysis...",cBA Mouse,vGAT,het,p45,m,22g,Standard ACSF,Cesium,34C,True,True,slice_000, , , ,True,cell_001,deep cell attached. Probably a TV cell. Could see sponts but nothing else..,unknown, , , ,"VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001",No Images or Videos
42,2018.05.25_000,"MT1 - VGAT DOB 4/6/2018, 22g, p45, cut in Ting HEPES/NMDG (Osm 305, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 307, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides, though one side was cut with whole cerebellum to test if DCN sliced cleaner with more tissue attached...","Std ACSF with 5+ uM CNQX disodium  Recording with Hi Cl cesium based internal.  slice_000, cell_000, cartwheel cell - looks good but map is messy, loss of access (though still ok)  slice_002, cell_000, transtrial cell - last 2 maps are big and look ok, but need more analysis...",cBA Mouse,vGAT,het,p45,m,22g,Standard ACSF,Cesium,34C,True,True,slice_002,flipped slice 001 , , ,True,cell_000,?? ,tuberculoventral, ,True,VGAT_5mspulses_5Hz_pt035_to_pt06_001.V.43/360,"VCIV_simple_000, VCIV_simple_001, VGAT_5mspulses_5Hz_pt035_to_pt06_000, VGAT_5mspulses_5Hz_pt035_to_pt06_002, VGAT_5mspulses_5Hz_pt045_to_pt1_000","Images:   7, Videos:   6"
43,2018.06.25_000,"NA2 - VGAT DOB 4/29/2018, 25g, p58, cut in Ting HEPES/NMDG (Osm 305, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 309, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides, though one side wasn't great","Rough day, but slice_002 cell_000 is a cartwheel with lots of maps in current clamp. No cell attached...",CBA Mouse,VGAT,het,p58,m,25g,Standard ACSF,Standard K-Gluc,34C,True,True,slice_000, , , , ,cell_000, , , , ,VGAT_5mspulses_5Hz_pt045_to_pt1_000.V.105/130, ,"Images:   4, Videos:   1"
44,2018.06.25_000,"NA2 - VGAT DOB 4/29/2018, 25g, p58, cut in Ting HEPES/NMDG (Osm 305, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 309, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides, though one side wasn't great","Rough day, but slice_002 cell_000 is a cartwheel with lots of maps in current clamp. No cell attached...",CBA Mouse,VGAT,het,p58,m,25g,Standard ACSF,Standard K-Gluc,34C,True,True,slice_000, , , , ,cell_001, , , , ,VGAT_5mspulses_5Hz_pt045_to_pt1_CC_001.I.116/143,"CCIV_1nA_Posonly_000, CCIV_1nA_Posonly_001, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001, VGAT_5mspulses_5Hz_pt045_to_pt1_002, VGAT_5mspulses_5Hz_pt045_to_pt1_003, VGAT_5mspulses_5Hz_pt045_to_pt1_CC_000",", Videos:   2"
45,2018.06.25_000,"NA2 - VGAT DOB 4/29/2018, 25g, p58, cut in Ting HEPES/NMDG (Osm 305, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 309, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides, though one side wasn't great","Rough day, but slice_002 cell_000 is a cartwheel with lots of maps in current clamp. No cell attached...",CBA Mouse,VGAT,het,p58,m,25g,Standard ACSF,Standard K-Gluc,34C,True,True,slice_001, , , ,False,cell_000, , , , ,"CCIV_1nA_Posonly_000.I.2/21, VGAT_5mspulses_5Hz_pt06_to_pt5_000.V.80/114","CCIV_1nA_Posonly_001, CCIV_long_000, VGAT_5mspulses_5Hz_pt045_to_pt1_000",Images:   2
46,2018.06.25_000,"NA2 - VGAT DOB 4/29/2018, 25g, p58, cut in Ting HEPES/NMDG (Osm 305, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 309, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides, though one side wasn't great","Rough day, but slice_002 cell_000 is a cartwheel with lots of maps in current clamp. No cell attached...",CBA Mouse,VGAT,het,p58,m,25g,Standard ACSF,Standard K-Gluc,34C,True,True,slice_001, , , ,False,cell_001, , , , , , ,Images:   1
47,2018.06.25_000,"NA2 - VGAT DOB 4/29/2018, 25g, p58, cut in Ting HEPES/NMDG (Osm 305, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 309, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides, though one side wasn't great","Rough day, but slice_002 cell_000 is a cartwheel with lots of maps in current clamp. No cell attached...",CBA Mouse,VGAT,het,p58,m,25g,Standard ACSF,Standard K-Gluc,34C,True,True,slice_001, , , ,False,cell_002, , , , , , ,Images:   1
48,2018.06.25_000,"NA2 - VGAT DOB 4/29/2018, 25g, p58, cut in Ting HEPES/NMDG (Osm 305, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 309, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides, though one side wasn't great","Rough day, but slice_002 cell_000 is a cartwheel with lots of maps in current clamp. No cell attached...",CBA Mouse,VGAT,het,p58,m,25g,Standard ACSF,Standard K-Gluc,34C,True,True,slice_002, , , ,True,cell_000,"Big beautiful cartwheel cell. A little on the leaky side, weird firing, but nice responses to light and survived the mapping.  Went spontaneous WC, so couldn't get any CA in...",cartwheel,layer 1,True,"VGAT_5mspulses_5Hz_pt045_to_pt1_CC_000.I.16/263, VGAT_5mspulses_5Hz_pt045_to_pt1_CC_003.I.30/31","CCIV_1nA_max_000, CCIV_long_000, CCIV_long_001, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_CC_001, VGAT_5mspulses_5Hz_pt045_to_pt1_CC_002",Images:  14
49,2018.07.13_000,"NF2 - VGAT DOB 5/28/2018, 17g, p46, cut in Ting HEPES/NMDG (Osm 305, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 310, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides","Std ACSF with 5+ uM CNQX disodium  Recording with Hi Cl cesium based internal.  slice_001, cell_000, cartwheel cell - looks good but at top of slice so map may be weird...  slice_002, cell_000, cartwheel cell - looks good, only did lower intensity maps, plenty of responses...",CBA Mouse,VGAT,het,p46,M,19g,Standard ACSF,Cesium,34C,True,True,slice_001,"top slice, actually recording cartwheel cell through top surface. May result in weird maps since other CW cells could and will be in any direction from recorded cell.", , ,True,cell_000,"Odd situation, recording from cartwheel cell at top surface of slice. So not ideal for mapping input specificity (CW cells could be in any direction, TV cell location is unknown or non-existent.  Fiar amount of spontaneous activity. Not a great N..",cartwheel, ,True,VGAT_5mspulses_5Hz_pt045_to_pt1_001.V.76/189,"VCIV_simple_000, VCIV_simple_001, VCIV_simple_002, VGAT_5mspulses_5Hz_pt035_to_pt06_000, VGAT_5mspulses_5Hz_pt035_to_pt06_001, VGAT_5mspulses_5Hz_pt035_to_pt06_002, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_002, VGAT_5mspulses_5Hz_pt045_to_pt1_003, VGAT_5mspulses_5Hz_pt045_to_pt1_004, VGAT_5mspulses_5Hz_pt045_to_pt1_005","Images:  15, Videos:  10"
50,2018.07.13_000,"NF2 - VGAT DOB 5/28/2018, 17g, p46, cut in Ting HEPES/NMDG (Osm 305, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 310, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides","Std ACSF with 5+ uM CNQX disodium  Recording with Hi Cl cesium based internal.  slice_001, cell_000, cartwheel cell - looks good but at top of slice so map may be weird...  slice_002, cell_000, cartwheel cell - looks good, only did lower intensity maps, plenty of responses...",CBA Mouse,VGAT,het,p46,M,19g,Standard ACSF,Cesium,34C,True,True,slice_002, , , ,True,cell_000,Nice cell pretty maps.,cartwheel, ,True,VGAT_5mspulses_5Hz_pt035_to_pt06_003.V.8/228,"VCIV_simple_000, VCIV_simple_001, VGAT_5mspulses_5Hz_pt035_to_pt06_000, VGAT_5mspulses_5Hz_pt035_to_pt06_001, VGAT_5mspulses_5Hz_pt035_to_pt06_002, VGAT_5mspulses_5Hz_pt035_to_pt06_004","Images:   3, Videos:   4"
51,2018.07.16_000,"NG10 - VGAT DOB 5/28/2018, 17g, p49, cut in Ting HEPES/NMDG (Osm 306, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 310, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides",Std ACSF with 5+ uM CNQX disodium  Recording with Hi Cl cesium based internal. ,CBA Mouse,VGAT,het,p49,f,17g,Standard ACSF,Cesium,34C,True,True,slice_000, , , ,True,cell_000,"Nice cell, wish access were a bit better, good maps..",pyramidal, ,True, ,"VCIV_simple_000, VCIV_simple_001, VGAT_5mspulses_5Hz_pt035_to_pt06_000, VGAT_5mspulses_5Hz_pt035_to_pt06_001, VGAT_5mspulses_5Hz_pt045_to_pt1_000","Images:  12, Videos:   9"
52,2018.07.16_000,"NG10 - VGAT DOB 5/28/2018, 17g, p49, cut in Ting HEPES/NMDG (Osm 306, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 310, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides",Std ACSF with 5+ uM CNQX disodium  Recording with Hi Cl cesium based internal. ,CBA Mouse,VGAT,het,p49,f,17g,Standard ACSF,Cesium,34C,True,True,slice_000, , , ,True,cell_001, , , , , , ,", Videos:   1"
53,2018.07.16_000,"NG10 - VGAT DOB 5/28/2018, 17g, p49, cut in Ting HEPES/NMDG (Osm 306, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 310, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides",Std ACSF with 5+ uM CNQX disodium  Recording with Hi Cl cesium based internal. ,CBA Mouse,VGAT,het,p49,f,17g,Standard ACSF,Cesium,34C,True,True,slice_000, , , ,True,cell_002, ,cartwheel, ,True, ,"VCIV_simple_000, VCIV_simple_001, VGAT_5mspulses_5Hz_pt035_to_pt06_000, VGAT_5mspulses_5Hz_pt035_to_pt06_001, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001","Images:   5, Videos:   5"
54,2018.07.16_000,"NG10 - VGAT DOB 5/28/2018, 17g, p49, cut in Ting HEPES/NMDG (Osm 306, no sucrose added), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac, Osm = 310, no sucrose added) , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial both sides",Std ACSF with 5+ uM CNQX disodium  Recording with Hi Cl cesium based internal. ,CBA Mouse,VGAT,het,p49,f,17g,Standard ACSF,Cesium,34C,True,True,slice_001, , , , ,cell_000,leaky but nice??,cartwheel, ,True, ,"VCIV_simple_000, VGAT_5mspulses_5Hz_pt035_to_pt06_000, VGAT_5mspulses_5Hz_pt035_to_pt06_001","Images:   7, Videos:   6"
55,2018.08.31_000,"NM3 - VGAT DOB 7/11/2018, 23g, p51, cut in Ting HEPES/NMDG, 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg (10 mM LNac), recorded in Rao's solution (2/1.3 Ca/Mg)  Animal was NIHL exposed 8/14, ABR 8/29 (or 8/28?)  ",Std ACSF with 5+ uM CNQX disodium  Recording with Hi Cl cesium based internal.  s0c0 - cartwheel s1c0 - pyramidal s2c0 - pyramidal  All good. ,CBA Mouse,vGAT,het,p51,M,23g,Standard ACSF,Cesium,34C,True,True,slice_000,"top of top slice. Through dorsal surface. So, cartwheel cells...", , ,True,cell_000,"From top of slice. Weird spontaneous activity, but clear connections...",cartwheel, ,True,"VGAT_5mspulses_5Hz_pt035_to_pt06_000.V.0/1, VGAT_5mspulses_5Hz_pt035_to_pt06_002.V.13/265","VCIV_simple_000, VCIV_simple_001, VGAT_5mspulses_5Hz_pt035_to_pt06_001, VGAT_5mspulses_5Hz_pt035_to_pt06_003, VGAT_5mspulses_5Hz_pt035_to_pt06_004, VGAT_5mspulses_5Hz_pt035_to_pt06_005, VGAT_5mspulses_5Hz_pt035_to_pt06_006, VGAT_5mspulses_5Hz_pt045_to_pt1_000","Images:  13, Videos:   7"
